1523576430,cURL_get,"TwitchPress HTTPDStatus: 400 - Request Not Valid. Something is wrong with the request due to an apparent client error e.g. malformed request syntax, size too large, invalid request message framing, or deceptive request routing.",,,,X,1,1,,,100
1523576430,check_application_token,"Invalid app token",,,,X,1,1,,,100
1523576431,cURL_post,"TwitchPress HTTPDStatus: 400 - Request Not Valid. Something is wrong with the request due to an apparent client error e.g. malformed request syntax, size too large, invalid request message framing, or deceptive request routing.",,,,X,1,1,,,100
1523576431,request_app_access_token,"No access token returned: Requesting function is set_application_credentials + establish_application_token()",,,,X,1,1,,,100
1523576432,cURL_post,"TwitchPress HTTPDStatus: 400 - Request Not Valid. Something is wrong with the request due to an apparent client error e.g. malformed request syntax, size too large, invalid request message framing, or deceptive request routing.",,,,X,1,1,,,100
1523576432,request_app_access_token,"No access token returned: Requesting function is twitchpress_setup_application_save()",,,,X,1,1,,,100
1523576433,check_application_token,"Invalid app token",,,,X,1,1,,,100
1523576433,request_app_access_token,"Access token returned. Requesting function was set_application_credentials + establish_application_token() and the token is bw7avnm9d2zwcv2tucef1vyflui6x3.",,,,X,1,1,,,100
1523576434,publish_to_feed,"Share to feed rejected for post ID: 4 because post_type: twitchchannels is not shareable.",,,,X,1,1,,,100
1523576434,oauth2mainaccount,"Listener forewarded administrator back to Setup Wizard.",727,twitchpress_setup_folders,"D:\xampp\htdocs\TwitchPress2\trunk\wp-content\plugins\channel-solution-for-twitch\includes\admin\class.twitchpress-admin-setup-wizard.php",X,1,1,,,100,,938954
1523576444,oauth2mainaccount,"Listener forewarded administrator back to Setup Wizard.",727,twitchpress_setup_folders,"D:\xampp\htdocs\TwitchPress2\trunk\wp-content\plugins\channel-solution-for-twitch\includes\admin\class.twitchpress-admin-setup-wizard.php",X,1,1,,,100,,834082
1523576455,check_application_token,"Invalid app token",,,,X,1,1,,,100
1523576455,request_app_access_token,"Access token returned. Requesting function was set_application_credentials + establish_application_token() and the token is vkbhg8vln9ltiuhjqjo4kh6v74vc4g.",,,,X,1,1,,,100
1523576455,generate_authorization_url,"oAuth2 URL has been requested.",,,,X,1,1,,,100
